afsc,doc_type,category,first_page,last_page,page_count,ksa_cues,mapping_terms,text_length,score,sample_text
1N1X1,AFECD,Intelligence,76,78,3,15,20,11225,62.62,"DAFECD, 31 Oct 24 3.5. Other. The following are mandatory as indicated: 3.5.1. into this specialty: 3.5.1.1. Normal color vision as defined by correctly identifying at least 10 of 14 Pseudo-isochromat"
1N2X1,AFECD,Intelligence,79,82,3,16,18,13109,61.81,"DAFECD, 31 Oct 24 3.3.2.1. For U.S. Space Force, completion of the Communication Signals Intelligence Course and Space Warfighter Intelligence Formal Training Unit is mandatory until replaced by new c"
1N0X1,AFECD,Intelligence,73,75,3,15,18,10734,59.57,"DAFECD, 31 Oct 24 3.5.1.2. A minimum score of G53 and PSM 26 on the 1N0X1 Tailored Adaptive Personality Assessment System (TAPAS)/Armed Services Vocational Aptitude Battery (ASVAB) predictive success"
1N8X1,AFECD,Intelligence,14,91,4,9,15,12298,43.73,"DAFECD, 31 Oct 24 ★Prefix Q Standardization/Flight Examiner (Changed 31 Oct 24) Prefix Q identifies positions on manpower documents and enlisted Airmen/Guardians serving in or qualified to serve in st"
1N4X1A,AFECD,Intelligence,83,84,2,10,13,8166,41.32,"DAFECD, 31 Oct 24 3.4. Experience. The following experience is mandatory for award and retention of the AFSC indicated: 3.4.1. 1N451A. Qualification in and possession of AFSC 1N431A and experience per"
1N7X1,AFECD,Intelligence,87,88,2,8,9,7173,31.22,"DAFECD, 31 Oct 24 3.4.9. Must have a minimum score of 65 in General on the Armed Forces Vocational Aptitude Battery (ASVAB) or a minimum score of 62 in General on the ASVAB plus a minimum score of 44"
1N4X2,AFECD,Intelligence,85,86,2,8,8,6889,29.69,"DAFECD, 31 Oct 24 3.5.1.1. No speech disorders or noticeable communications deficiencies as defined by AFI 48-123, Medical Examinations and Standards. 3.5.1.2. See attachment 4 for additional entry re"
1N2X1A,AFECD,Intelligence,14,79,2,4,4,4109,15.41,"DAFECD, 31 Oct 24 ★Prefix Q Standardization/Flight Examiner (Changed 31 Oct 24) Prefix Q identifies positions on manpower documents and enlisted Airmen/Guardians serving in or qualified to serve in st"
1N1X1A,AFECD,Intelligence,14,76,2,3,4,3808,13.38,"DAFECD, 31 Oct 24 ★Prefix Q Standardization/Flight Examiner (Changed 31 Oct 24) Prefix Q identifies positions on manpower documents and enlisted Airmen/Guardians serving in or qualified to serve in st"
2A3X5,AFECD,Maintenance,128,179,46,238,271,163696,921.87,"DAFECD, 31 Oct 24 3.5.2.2. Specialty requires routine access to Tier 3 (T3) information, systems, or similar classified environment. For award and retention of AFSCs 2A3X5/X, completion of a current T"
2W1X1,AFECD,Maintenance,189,200,12,69,75,52293,261.73,"DAFECD, 31 Oct 24 3.5.1. See attachment 4 for additional entry requirements. 3.5.2. For entry, award, and retention of these AFSCs: 3.5.2.1. Must not have chronic mental health conditions. 3.5.2.2. No"
2T2X1,AFECD,Maintenance,180,188,8,43,59,36535,182.15,"DAFECD, 31 Oct 24 all seven-level tasks (as outlined in CFETP2T2X1), and capable of performing shift supervision roles conducive to assigned rank before award of the 9-skill level. 3.5. Other. The fol"
2A6X6,AFECD,Maintenance,20,20,1,2,0,2063,4.71,"DAFECD, 31 Oct 24 ★Prefix X Aircrew (Changed 31 Oct 24) Prefix X identifies positions on manpower documents and Airmen/Guardian serving in or qualified to serve in aircraft crew positions. Affix prefi"
6C0X1,AFECD,Operations,297,378,58,275,156,252183,838.22,"DAFECD, 31 Oct 24 funds or property, financial irresponsibility, committing acts of misconduct relating to or engaging in falsification of legal documents, or failure to exercise sound leadership prin"
1C8X3,AFECD,Operations,20,39,18,74,117,82428,340.74,"DAFECD, 31 Oct 24 ★Prefix X Aircrew (Changed 31 Oct 24) Prefix X identifies positions on manpower documents and Airmen/Guardian serving in or qualified to serve in aircraft crew positions. Affix prefi"
3E4X1A,AFECD,Operations,201,219,17,88,96,74329,335.93,"DAFECD, 31 Oct 24 AFSC 3E471 or 3E471A, Craftsman AFSC 3E451 or 3E451A, Journeyman AFSC 3E431, Apprentice AFSC 3E411, Helper WATER AND FUEL SYSTEMS MAINTENANCE (Changed 30 Apr 21) 1. Specialty Summary"
1Z3X1,AFECD,Operations,112,379,14,72,79,54974,275.0,"DAFECD, 31 Oct 24 operations to include; friendly and adversary weapons systems and munitions characteristics and capabilities; aircraft employment; intelligence, surveillance, and reconnaissance capa"
3P0X1A,AFECD,Operations,245,260,14,63,61,57062,230.21,"DAFECD, 31 Oct 24 3.4.3. 3P051B. Qualification in and possession of AFSC 3P031B. 3.4.4. 3P071. Qualification in and possession of AFSC 3P051/A. Also, experience supervising or performing functions suc"
1C7X1,AFECD,Operations,53,63,10,45,62,40736,192.07,"DAFECD, 31 Oct 24 3.4.3. 1C791. Qualification in and possession of AFSC 1C771 and SEI 368. Also, experience managing functions such as airfield management activities, preparing or reviewing policies a"
5I2X1,AFECD,Operations,391,410,14,56,33,50818,173.58,"DAFECD, 31 Oct 24 targeting methods and techniques, use of national geospatial data, information and intelligence data systems and the maps, charts, grid systems. Graphic, oral, and written intelligen"
