afsc,label,text_norm,source_doc,evidence,page,chunk_idx,extractor_version
11F3,K,Theory of flight,llm,Theory of flight,,0,llm_v0
11F3,K,Air navigation principles,llm,Air navigation principles,,0,llm_v0
11F3,K,Aviation meteorology,llm,Aviation meteorology,,0,llm_v0
11F3,K,"Flying directives, regulations, and standards",llm,"Flying directives, regulations, and standards",,0,llm_v0
11F3,K,Aircraft operating procedures,llm,Aircraft operating procedures,,0,llm_v0
11F3,K,Mission tactics for fighter operations,llm,Mission tactics for fighter operations,,0,llm_v0
11F3,K,Mission planning principles,llm,Mission planning principles,,0,llm_v0
11F3,K,Weapons employment concepts and tactics,llm,Weapons employment concepts and tactics,,0,llm_v0
11F3,K,In-flight refueling procedures and safety considerations,llm,In-flight refueling procedures and safety considerations,,0,llm_v0
11F3,S,Plan and prepare missions,llm,Plan and prepare missions,,0,llm_v0
11F3,S,"Review and interpret mission tasking, intelligence, and weather information",llm,"Review and interpret mission tasking, intelligence, and weather information",,0,llm_v0
11F3,S,Supervise mission planning and preparation,llm,Supervise mission planning and preparation,,0,llm_v0
11F3,S,Prepare and file flight plans,llm,Prepare and file flight plans,,0,llm_v0
11F3,S,Conduct crew briefings,llm,Conduct crew briefings,,0,llm_v0
11F3,S,Perform preflight inspections of aircraft and equipment,llm,Perform preflight inspections of aircraft and equipment,,0,llm_v0
11F3,S,Operate aircraft controls and onboard systems,llm,Operate aircraft controls and onboard systems,,0,llm_v0
11F3,S,Perform air navigation,llm,Perform air navigation,,0,llm_v0
11F3,S,Conduct in-flight refueling,llm,Conduct in-flight refueling,,0,llm_v0
11F3,S,Deliver weapons on target,llm,Deliver weapons on target,,0,llm_v0
11F3,S,Conduct and supervise mission-specific training,llm,Conduct and supervise mission-specific training,,0,llm_v0
11F3,S,Develop operational plans and policies,llm,Develop operational plans and policies,,0,llm_v0
11F3,S,Monitor flight operations,llm,Monitor flight operations,,0,llm_v0
11F3,S,Advise commanders and perform staff functions,llm,Advise commanders and perform staff functions,,0,llm_v0
11F3,S,"Ensure aircraft is inspected, loaded, equipped, and manned for mission",llm,"Ensure aircraft is inspected, loaded, equipped, and manned for mission",,0,llm_v0
11F3,A,Lead and command aircrews,llm,Lead and command aircrews,,0,llm_v0
11F3,A,"Make rapid, sound decisions under pressure",llm,"Make rapid, sound decisions under pressure",,0,llm_v0
11F3,A,Maintain situational awareness in dynamic environments,llm,Maintain situational awareness in dynamic environments,,0,llm_v0
11F3,A,"Integrate navigation, refueling, and weapons employment during missions",llm,"Integrate navigation, refueling, and weapons employment during missions",,0,llm_v0
11F3,A,"Interpret and apply directives, intelligence, and weather data",llm,"Interpret and apply directives, intelligence, and weather data",,0,llm_v0
11F3,A,Enforce and adhere to procedures and safety protocols,llm,Enforce and adhere to procedures and safety protocols,,0,llm_v0
11F3,A,"Train, mentor, and assess crewmember readiness",llm,"Train, mentor, and assess crewmember readiness",,0,llm_v0
11F3,A,"Plan, prioritize, and manage resources to meet mission objectives",llm,"Plan, prioritize, and manage resources to meet mission objectives",,0,llm_v0
11F3,A,Communicate clearly and concisely with crews and commanders,llm,Communicate clearly and concisely with crews and commanders,,0,llm_v0
11F3,A,Supervise operations and provide guidance to staff,llm,Supervise operations and provide guidance to staff,,0,llm_v0
11F3,A,Maintain attention to detail during planning and preflight,llm,Maintain attention to detail during planning and preflight,,0,llm_v0
11F3,A,Adapt to changing mission requirements and conditions,llm,Adapt to changing mission requirements and conditions,,0,llm_v0
11F3,K,Aeronautical rating standards and aviation service qualification requirements for USAF pilots,llm,Aeronautical rating standards and aviation service qualification requirements for USAF pilots,,1,llm_v0
11F3,K,"Roles, responsibilities, and certification criteria for wingman and flight lead in fighter operations",llm,"Roles, responsibilities, and certification criteria for wingman and flight lead in fighter operations",,1,llm_v0
11F3,K,"Aircraft-specific systems and mission employment for A-10, F-15, F-15E, F-16, F-22, and F-35",llm,"Aircraft-specific systems and mission employment for A-10, F-15, F-15E, F-16, F-22, and F-35",,1,llm_v0
11F3,K,Introduction to Fighter Fundamentals (IFF) syllabus and T-38C/AT-38 operations,llm,Introduction to Fighter Fundamentals (IFF) syllabus and T-38C/AT-38 operations,,1,llm_v0
11F3,K,"USAF Personnel Security Program, Tier 5 investigation requirements, and classified information protection per DoDM 5200.02 and AFMAN 16-1405",llm,"USAF Personnel Security Program, Tier 5 investigation requirements, and classified information protection per DoDM 5200.02 and AFMAN 16-1405",,1,llm_v0
11F3,K,Air Liaison Officer (ALO) functions and integration with air/ground operations,llm,Air Liaison Officer (ALO) functions and integration with air/ground operations,,1,llm_v0
11F3,K,"AFSC 11F progression and certification processes (e.g., 11F2X wingman, 11F3X flight lead) and oversight by unit commanders/operations authorities",llm,"AFSC 11F progression and certification processes (e.g., 11F2X wingman, 11F3X flight lead) and oversight by unit commanders/operations authorities",,1,llm_v0
11F3,S,Pilot fighter aircraft in accordance with USAF aviation service standards,llm,Pilot fighter aircraft in accordance with USAF aviation service standards,,1,llm_v0
