afsc,label,text_norm,evidence,source_doc,page,chunk_idx,extractor_version
11F3,K,Theory of flight,Theory of flight,llm,,0,llm_v0
11F3,K,Air navigation principles,Air navigation principles,llm,,0,llm_v0
11F3,K,Aviation meteorology,Aviation meteorology,llm,,0,llm_v0
11F3,K,"Flying directives, regulations, and standards","Flying directives, regulations, and standards",llm,,0,llm_v0
11F3,K,Aircraft operating procedures,Aircraft operating procedures,llm,,0,llm_v0
11F3,K,Mission tactics for fighter operations,Mission tactics for fighter operations,llm,,0,llm_v0
11F3,K,Mission planning principles,Mission planning principles,llm,,0,llm_v0
11F3,K,Weapons employment concepts and tactics,Weapons employment concepts and tactics,llm,,0,llm_v0
11F3,K,In-flight refueling procedures and safety considerations,In-flight refueling procedures and safety considerations,llm,,0,llm_v0
11F3,S,Plan and prepare missions,Plan and prepare missions,llm,,0,llm_v0
11F3,S,"Review and interpret mission tasking, intelligence, and weather information","Review and interpret mission tasking, intelligence, and weather information",llm,,0,llm_v0
11F3,S,Supervise mission planning and preparation,Supervise mission planning and preparation,llm,,0,llm_v0
11F3,S,Prepare and file flight plans,Prepare and file flight plans,llm,,0,llm_v0
11F3,S,Conduct crew briefings,Conduct crew briefings,llm,,0,llm_v0
11F3,S,Perform preflight inspections of aircraft and equipment,Perform preflight inspections of aircraft and equipment,llm,,0,llm_v0
11F3,S,Operate aircraft controls and onboard systems,Operate aircraft controls and onboard systems,llm,,0,llm_v0
11F3,S,Perform air navigation,Perform air navigation,llm,,0,llm_v0
11F3,S,Conduct in-flight refueling,Conduct in-flight refueling,llm,,0,llm_v0
11F3,S,Deliver weapons on target,Deliver weapons on target,llm,,0,llm_v0
11F3,S,Conduct and supervise mission-specific training,Conduct and supervise mission-specific training,llm,,0,llm_v0
11F3,S,Develop operational plans and policies,Develop operational plans and policies,llm,,0,llm_v0
11F3,S,Monitor flight operations,Monitor flight operations,llm,,0,llm_v0
11F3,S,Advise commanders and perform staff functions,Advise commanders and perform staff functions,llm,,0,llm_v0
11F3,S,"Ensure aircraft is inspected, loaded, equipped, and manned for mission","Ensure aircraft is inspected, loaded, equipped, and manned for mission",llm,,0,llm_v0
11F3,A,Lead and command aircrews,Lead and command aircrews,llm,,0,llm_v0
11F3,A,"Make rapid, sound decisions under pressure","Make rapid, sound decisions under pressure",llm,,0,llm_v0
11F3,A,Maintain situational awareness in dynamic environments,Maintain situational awareness in dynamic environments,llm,,0,llm_v0
11F3,A,"Integrate navigation, refueling, and weapons employment during missions","Integrate navigation, refueling, and weapons employment during missions",llm,,0,llm_v0
11F3,A,"Interpret and apply directives, intelligence, and weather data","Interpret and apply directives, intelligence, and weather data",llm,,0,llm_v0
11F3,A,Enforce and adhere to procedures and safety protocols,Enforce and adhere to procedures and safety protocols,llm,,0,llm_v0
11F3,A,"Train, mentor, and assess crewmember readiness","Train, mentor, and assess crewmember readiness",llm,,0,llm_v0
11F3,A,"Plan, prioritize, and manage resources to meet mission objectives","Plan, prioritize, and manage resources to meet mission objectives",llm,,0,llm_v0
11F3,A,Communicate clearly and concisely with crews and commanders,Communicate clearly and concisely with crews and commanders,llm,,0,llm_v0
11F3,A,Supervise operations and provide guidance to staff,Supervise operations and provide guidance to staff,llm,,0,llm_v0
11F3,A,Maintain attention to detail during planning and preflight,Maintain attention to detail during planning and preflight,llm,,0,llm_v0
11F3,A,Adapt to changing mission requirements and conditions,Adapt to changing mission requirements and conditions,llm,,0,llm_v0
11F3,K,Aeronautical rating standards and aviation service qualification requirements for USAF pilots,Aeronautical rating standards and aviation service qualification requirements for USAF pilots,llm,,1,llm_v0
11F3,K,"Roles, responsibilities, and certification criteria for wingman and flight lead in fighter operations","Roles, responsibilities, and certification criteria for wingman and flight lead in fighter operations",llm,,1,llm_v0
11F3,K,"Aircraft-specific systems and mission employment for A-10, F-15, F-15E, F-16, F-22, and F-35","Aircraft-specific systems and mission employment for A-10, F-15, F-15E, F-16, F-22, and F-35",llm,,1,llm_v0
11F3,K,Introduction to Fighter Fundamentals (IFF) syllabus and T-38C/AT-38 operations,Introduction to Fighter Fundamentals (IFF) syllabus and T-38C/AT-38 operations,llm,,1,llm_v0
11F3,K,"USAF Personnel Security Program, Tier 5 investigation requirements, and classified information protection per DoDM 5200.02 and AFMAN 16-1405","USAF Personnel Security Program, Tier 5 investigation requirements, and classified information protection per DoDM 5200.02 and AFMAN 16-1405",llm,,1,llm_v0
11F3,K,Air Liaison Officer (ALO) functions and integration with air/ground operations,Air Liaison Officer (ALO) functions and integration with air/ground operations,llm,,1,llm_v0
11F3,K,"AFSC 11F progression and certification processes (e.g., 11F2X wingman, 11F3X flight lead) and oversight by unit commanders/operations authorities","AFSC 11F progression and certification processes (e.g., 11F2X wingman, 11F3X flight lead) and oversight by unit commanders/operations authorities",llm,,1,llm_v0
11F3,S,Pilot fighter aircraft in accordance with USAF aviation service standards,Pilot fighter aircraft in accordance with USAF aviation service standards,llm,,1,llm_v0
11F3,S,"Maintain aeronautical qualification through training, evaluations, and currency requirements","Maintain aeronautical qualification through training, evaluations, and currency requirements",llm,,1,llm_v0
11F3,S,"Execute wingman tactics, techniques, and procedures","Execute wingman tactics, techniques, and procedures",llm,,1,llm_v0
11F3,S,"Plan, brief, lead, and debrief missions as a flight lead","Plan, brief, lead, and debrief missions as a flight lead",llm,,1,llm_v0
11F3,S,Complete IFF training and employ T-38C/AT-38 procedures,Complete IFF training and employ T-38C/AT-38 procedures,llm,,1,llm_v0
11F3,S,"Qualify in and employ designated fighter aircraft (e.g., A-10, F-15, F-15E, F-16, F-22, F-35)","Qualify in and employ designated fighter aircraft (e.g., A-10, F-15, F-15E, F-16, F-22, F-35)",llm,,1,llm_v0
11F3,S,Apply classified information handling procedures and operate within classified systems/environments,Apply classified information handling procedures and operate within classified systems/environments,llm,,1,llm_v0
11F3,A,"Meet proficiency standards based on performance, experience, and completion of training requirements","Meet proficiency standards based on performance, experience, and completion of training requirements",llm,,1,llm_v0
11F3,A,Obtain and maintain eligibility for Tier 5 access and work effectively in Top Secret/classified environments,Obtain and maintain eligibility for Tier 5 access and work effectively in Top Secret/classified environments,llm,,1,llm_v0
11F3,A,"Function effectively as both a wingman and a flight lead, including making rapid decisions under operational conditions","Function effectively as both a wingman and a flight lead, including making rapid decisions under operational conditions",llm,,1,llm_v0
11F3,A,Adapt to different fighter aircraft and mission sets as assigned,Adapt to different fighter aircraft and mission sets as assigned,llm,,1,llm_v0
11F3,A,Comply with regulatory guidance and certification processes overseen by operations authorities,Comply with regulatory guidance and certification processes overseen by operations authorities,llm,,1,llm_v0
11F3,A,Sustain readiness and currency required for award and retention of the AFSC,Sustain readiness and currency required for award and retention of the AFSC,llm,,1,llm_v0
12B,K,Theory of flight,Theory of flight,llm,,0,llm_v0
12B,K,Principles of air navigation,Principles of air navigation,llm,,0,llm_v0
12B,K,Aviation meteorology,Aviation meteorology,llm,,0,llm_v0
12B,K,Flying directives and Air Force regulations,Flying directives and Air Force regulations,llm,,0,llm_v0
12B,K,Aircraft operating procedures for bomber platforms,Aircraft operating procedures for bomber platforms,llm,,0,llm_v0
12B,K,Mission tactics and doctrine,Mission tactics and doctrine,llm,,0,llm_v0
12B,K,Mission planning processes and flight plan requirements,Mission planning processes and flight plan requirements,llm,,0,llm_v0
12B,K,Navigation systems capabilities and limitations,Navigation systems capabilities and limitations,llm,,0,llm_v0
12B,K,Concepts of electronic warfare and weapon systems employment,Concepts of electronic warfare and weapon systems employment,llm,,0,llm_v0
12B,K,Fundamentals of training and crew qualification requirements,Fundamentals of training and crew qualification requirements,llm,,0,llm_v0
12B,K,Physical sciences and mathematics relevant to aviation,Physical sciences and mathematics relevant to aviation,llm,,0,llm_v0
12B,K,Administration and management principles applicable to staff functions,Administration and management principles applicable to staff functions,llm,,0,llm_v0
12B,S,Plan and prepare missions,Plan and prepare missions,llm,,0,llm_v0
12B,S,"Review and interpret mission tasking, intelligence, and weather data","Review and interpret mission tasking, intelligence, and weather data",llm,,0,llm_v0
12B,S,Prepare and file flight plans,Prepare and file flight plans,llm,,0,llm_v0
12B,S,Conduct crew briefings,Conduct crew briefings,llm,,0,llm_v0
12B,S,"Ensure aircraft preflight, inspection, loading, equipping, and manning","Ensure aircraft preflight, inspection, loading, equipping, and manning",llm,,0,llm_v0
12B,S,Navigate aircraft to accomplish mission objectives,Navigate aircraft to accomplish mission objectives,llm,,0,llm_v0
12B,S,Operate available navigation systems,Operate available navigation systems,llm,,0,llm_v0
12B,S,Conduct and supervise mission-specific training for crewmembers,Conduct and supervise mission-specific training for crewmembers,llm,,0,llm_v0
12B,S,Develop plans and policies for operations,Develop plans and policies for operations,llm,,0,llm_v0
12B,S,Monitor operations and advise commanders,Monitor operations and advise commanders,llm,,0,llm_v0
12B,S,Perform staff functions related to bomber CSO operations,Perform staff functions related to bomber CSO operations,llm,,0,llm_v0
12B,S,Transition to and operate suffix-specific aircraft through operational training,Transition to and operate suffix-specific aircraft through operational training,llm,,0,llm_v0
12B,A,"Lead, supervise, and ensure readiness of aircrew","Lead, supervise, and ensure readiness of aircrew",llm,,0,llm_v0
12B,A,Maintain high situational awareness during flight operations,Maintain high situational awareness during flight operations,llm,,0,llm_v0
12B,A,Analyze complex information and make timely decisions,Analyze complex information and make timely decisions,llm,,0,llm_v0
12B,A,Communicate clearly and effectively with crew and command,Communicate clearly and effectively with crew and command,llm,,0,llm_v0
12B,A,"Plan, organize, and prioritize tasks for complex missions","Plan, organize, and prioritize tasks for complex missions",llm,,0,llm_v0
12B,A,"Apply rules, procedures, and tactics consistently and safely","Apply rules, procedures, and tactics consistently and safely",llm,,0,llm_v0
12B,A,"Instruct, coach, and evaluate personnel","Instruct, coach, and evaluate personnel",llm,,0,llm_v0
12B,A,"Adapt to changing mission, intelligence, and weather conditions","Adapt to changing mission, intelligence, and weather conditions",llm,,0,llm_v0
12B,A,Sustain attention to detail during preflight and in-flight operations,Sustain attention to detail during preflight and in-flight operations,llm,,0,llm_v0
12B,A,Learn and retain aircraft- and mission-specific systems and procedures,Learn and retain aircraft- and mission-specific systems and procedures,llm,,0,llm_v0
12B,K,"Electronic Warfare Officer (EWO) concepts, doctrine, and mission employment","Electronic Warfare Officer (EWO) concepts, doctrine, and mission employment",llm,,1,llm_v0
12B,K,Undergraduate Combat Systems Officer (CSO) fundamentals and mission systems,Undergraduate Combat Systems Officer (CSO) fundamentals and mission systems,llm,,1,llm_v0
12B,K,Aeronautical rating and aviation service requirements for navigators,Aeronautical rating and aviation service requirements for navigators,llm,,1,llm_v0
12B,K,Department of Defense and Air Force personnel security policies (DoDM 5200.02; AFMAN 16-1405),Department of Defense and Air Force personnel security policies (DoDM 5200.02; AFMAN 16-1405),llm,,1,llm_v0
12B,K,Classification levels and handling requirements for Tier 5 (T5) information and systems,Classification levels and handling requirements for Tier 5 (T5) information and systems,llm,,1,llm_v0
12B,K,"Role and platform designations for B-1 WSO, B-52 EWO/WSO, and Air Liaison Officer (ALO)","Role and platform designations for B-1 WSO, B-52 EWO/WSO, and Air Liaison Officer (ALO)",llm,,1,llm_v0
12B,S,Apply EWO procedures and tactics learned in formal training,Apply EWO procedures and tactics learned in formal training,llm,,1,llm_v0
12B,S,Perform CSO/navigation duties during flight operations,Perform CSO/navigation duties during flight operations,llm,,1,llm_v0
12B,S,Operate and employ aircraft weapon systems as a Weapons Systems Officer (WSO),Operate and employ aircraft weapon systems as a Weapons Systems Officer (WSO),llm,,1,llm_v0
12B,S,Execute mission tasks specific to B-52 EWO/WSO and B-1 WSO roles,Execute mission tasks specific to B-52 EWO/WSO and B-1 WSO roles,llm,,1,llm_v0
12B,S,Handle and safeguard classified information in T5/Top Secret environments in accordance with policy,Handle and safeguard classified information in T5/Top Secret environments in accordance with policy,llm,,1,llm_v0
12B,S,Maintain training currency and demonstrate proficiency to unit commander standards,Maintain training currency and demonstrate proficiency to unit commander standards,llm,,1,llm_v0
12B,A,Qualify for and retain aeronautical rating and aviation service as a navigator,Qualify for and retain aeronautical rating and aviation service as a navigator,llm,,1,llm_v0
12B,A,Obtain and maintain a Top Secret security clearance supported by a Tier 5 investigation,Obtain and maintain a Top Secret security clearance supported by a Tier 5 investigation,llm,,1,llm_v0
12B,A,Work routinely in highly classified (T5) environments,Work routinely in highly classified (T5) environments,llm,,1,llm_v0
12B,A,Meet minimum training requirements and progress to higher AFSC levels based on performance and experience,Meet minimum training requirements and progress to higher AFSC levels based on performance and experience,llm,,1,llm_v0
12B,A,"Adapt to platform- and role-specific shredouts (e.g., C/D/W; B-1 WSO; B-52 EWO/WSO; ALO)","Adapt to platform- and role-specific shredouts (e.g., C/D/W; B-1 WSO; B-52 EWO/WSO; ALO)",llm,,1,llm_v0
14N,K,"Air Force Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR)","Air Force Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR)",llm,,0,llm_v0
14N,K,The ISR PCPAD cycle and its phases: planning and direction; collection; processing and exploitation; analysis and production; dissemination,The ISR PCPAD cycle and its phases: planning and direction; collection; processing and exploitation; analysis and production; dissemination,llm,,0,llm_v0
14N,K,"Principles of assessment, evaluation, and feedback within the ISR lifecycle","Principles of assessment, evaluation, and feedback within the ISR lifecycle",llm,,0,llm_v0
14N,K,"Functional competencies in Air Force ISR: Analysis, Collection, Targeting, and Sensing Grid Activities","Functional competencies in Air Force ISR: Analysis, Collection, Targeting, and Sensing Grid Activities",llm,,0,llm_v0
14N,K,Roles and objectives of intelligence activities across the full range of military operations,Roles and objectives of intelligence activities across the full range of military operations,llm,,0,llm_v0
14N,S,Plan and direct ISR operations,Plan and direct ISR operations,llm,,0,llm_v0
14N,S,Conduct intelligence collection,Conduct intelligence collection,llm,,0,llm_v0
14N,S,Perform processing and exploitation of collected information,Perform processing and exploitation of collected information,llm,,0,llm_v0
14N,S,Conduct analysis and produce intelligence,Conduct analysis and produce intelligence,llm,,0,llm_v0
14N,S,Disseminate intelligence products,Disseminate intelligence products,llm,,0,llm_v0
14N,S,"Conduct assessment, evaluation, and feedback across ISR phases","Conduct assessment, evaluation, and feedback across ISR phases",llm,,0,llm_v0
14N,S,Lead teams through the PCPAD process,Lead teams through the PCPAD process,llm,,0,llm_v0
14N,S,"Execute functional tasks in analysis, collection, targeting, and sensing grid activities","Execute functional tasks in analysis, collection, targeting, and sensing grid activities",llm,,0,llm_v0
14N,A,Lead and perform intelligence activities across the full range of military operations,Lead and perform intelligence activities across the full range of military operations,llm,,0,llm_v0
14N,A,Integrate and manage ISR operations globally,Integrate and manage ISR operations globally,llm,,0,llm_v0
14N,A,Oversee end-to-end execution of the PCPAD cycle,Oversee end-to-end execution of the PCPAD cycle,llm,,0,llm_v0
14N,A,"Coordinate and synchronize functional competencies (analysis, collection, targeting, sensing grid) to meet mission needs","Coordinate and synchronize functional competencies (analysis, collection, targeting, sensing grid) to meet mission needs",llm,,0,llm_v0
14N,A,Maintain continuous assessment and feedback throughout ISR operations,Maintain continuous assessment and feedback throughout ISR operations,llm,,0,llm_v0
14N,A,Support the Air Force’s Global Integrated ISR SCF objectives,Support the Air Force’s Global Integrated ISR SCF objectives,llm,,0,llm_v0
14N,K,Geospatial intelligence (GEOINT) principles,Geospatial intelligence (GEOINT) principles,llm,,1,llm_v0
14N,K,Human intelligence (HUMINT) principles,Human intelligence (HUMINT) principles,llm,,1,llm_v0
14N,K,Measurement and signature intelligence (MASINT) principles,Measurement and signature intelligence (MASINT) principles,llm,,1,llm_v0
14N,K,Open-source intelligence (OSINT) principles,Open-source intelligence (OSINT) principles,llm,,1,llm_v0
14N,K,Signals intelligence (SIGINT) principles,Signals intelligence (SIGINT) principles,llm,,1,llm_v0
14N,K,Technical intelligence (TECHINT) principles,Technical intelligence (TECHINT) principles,llm,,1,llm_v0
14N,K,Intelligence tradecraft and assessment methodologies,Intelligence tradecraft and assessment methodologies,llm,,1,llm_v0
