afsc,label,text_norm,evidence,source_doc,page,chunk_idx,extractor_version
11F3,K,"theory of flight, air navigation, meteorology, flying directives, aircraft operating procedures,","erforms staff functions 
related to this specialty. 
3. Specialty Qualifications: 
3.1. 
Knowledge. Knowledge is mandatory of theory of flight, air navigation, meteorology, flying directives, aircraft operating 
procedures, and mission tactics. 
3.2. 
Education. For entry into this specialty, an undergraduate degree specializi",pattern,,,pattern_v0
11F3,S,staff functions related to this specialty,". 
Develops plans and policies, monitors operations, and advises commanders. Assists commanders and performs staff functions 
related to this specialty. 
3. Specialty Qualifications: 
3.1. 
Knowledge. Knowledge is mandatory of theory of flight, air nav",pattern,,,pattern_v0
11F3,S,or supervises training of crewmembers,"navigation, in-flight 
refueling (except Q Suffix, IFF (AT-38/T-38C)), and weapons delivery. 
2.3. 
Conducts or supervises training of crewmembers. Ensures operational readiness of crew by conducting or supervising mission 
specific training. 
2.4",pattern,,,pattern_v0
11F3,S,aircraft controls,"ed, inspected, loaded, equipped, and manned for 
mission. 
2.2. 
Pilots aircraft and commands crew. Operates aircraft controls and equipment. Performs, supervises, or directs navigation, in-flight 
refueling (except Q Suffix, IFF (",pattern,,,pattern_v0
12B,K,"theory of flight, air navigation, meteorology, flying directives, aircraft operating procedures,","erforms staff functions 
related to this specialty. 
3. Specialty Qualifications: 
3.1. 
Knowledge. Knowledge is mandatory of theory of flight, air navigation, meteorology, flying directives, aircraft operating 
procedures, and mission tactics. 
3.2. 
Education. For entry into this specialty, an undergraduate degree specializi",pattern,,,pattern_v0
12B,S,"duties of navigator, electronic warfare officer (ewo), or weapon systems officer (wso) to accomplish combat, training,","FSC 12B1*, Entry/Student 
BOMBER COMBAT SYSTEMS OFFICER 
(Changed 31 Oct 21) 
1. Specialty Summary. Performs duties of navigator, electronic warfare officer (EWO), or weapon systems officer (WSO) to accomplish 
combat, training, and other assigned missions. Related DoD Occupational Group: 220400. 
2. Duties and Responsibilities: 
2",pattern,,,pattern_v0
12B,S,staff functions related to this specialty,". 
Develops plans and policies, monitors operations, and advises commanders. Assists commanders and performs staff functions 
related to this specialty. 
3. Specialty Qualifications: 
3.1. 
Knowledge. Knowledge is mandatory of theory of flight, air nav",pattern,,,pattern_v0
12B,S,or supervises training of crewmembers,". 
2.3. 
Navigates aircraft to accomplish assigned mission. Operates available navigation systems. 
Conducts or supervises training of crewmembers. Ensures operational readiness of crew by conducting or supervising mission 
specific training. 
2.4",pattern,,,pattern_v0
12B,S,available navigation systems," equipped, and manned for 
mission. 
2.2. 
2.3. 
Navigates aircraft to accomplish assigned mission. Operates available navigation systems. 
Conducts or supervises training of crewmembers. Ensures operational readiness of crew by conductin",pattern,,,pattern_v0
14N,K,"intelligence fundamentals, security, analysis, communications skills, the intelligence disciplines, the intelligence community, isr information systems, research sources","rt accomplishment 
of the commander’s objectives. 
 
3. Specialty Qualifications: 
3.1. 
Knowledge. Knowledge is mandatory of intelligence fundamentals, security, analysis, communications skills, the intelligence 
disciplines, the intelligence community, ISR information systems, research sources and methods, the presentation of friendly forces, 
friendly weapons systems, adversary capabilities, ISR",pattern,,,pattern_v0
14N,S,"processing, exploitation,",", 
non-traditional ISR and HUMINT sources as well as near real time (NRT) coordination and control. Performs processing, exploitation, 
and dissemination by converting raw collection into forms that can be readily used by commanders, decisi",pattern,,,pattern_v0
14N,S,"activities such as collection operations (sensing), analysis (identify","s, 
intelligence analysts and other consumers. 
2.6. 
Employs multi-domain sensing grid activities. Performs activities such as collection operations (sensing), analysis (identify and 
attribute), delivering information to customers, and collaborating with partners (sharing). Underst",pattern,,,pattern_v0
14N,S,targeting functions," Airmen to be more effective in 
solving problems and delivering time-dominant intelligence. 
2.7. 
Performs targeting functions. Performs targeting functions to include kinetic and non-kinetic target development, weaponeering, 
",pattern,,,pattern_v0
14N,S,targeting functions to include kinetic,"n 
solving problems and delivering time-dominant intelligence. 
2.7. 
Performs targeting functions. Performs targeting functions to include kinetic and non-kinetic target development, weaponeering, 
precision point mensuration (PPM), force application,",pattern,,,pattern_v0
14N,S,"force development, management","lligence disciplines, professional tradecraft, and integration with 
cross functional capabilities. Conducts force development, management and structure planning. 
2.3. 
Manages and coordinates intelligence activities. Confers with government,",pattern,,,pattern_v0
14N,S,collection,"e commander’s priority intelligence requirements (PIRs) and requests for information (RFIs). 
2.5. 
Conducts collection and ISR operations. Executes collection management by converting intelligence requirements into collecti",pattern,,,pattern_v0
14N,S,"collection operations by directing, scheduling,","with appropriate collection sources or agencies, monitoring results, and re- 
tasking, as required. Conducts collection operations by directing, scheduling, and controlling specific collection platforms, sensors and 
HUMINT sources to include the physical opera",pattern,,,pattern_v0
14N,S,"analysis of enemy personnel, units, disposition, facilities, systems,","ired effects that achieve objectives, taking account of operational 
requirements and capabilities. Conducts analysis of enemy personnel, units, disposition, facilities, systems, and nodes relative to the 
mission, objectives, and the capabilities at the Joint Force Commander’s disp",pattern,,,pattern_v0
14N,S,"the six intelligence disciplines of geospatial intelligence (geoint), human intelligence (humint), measurement"," Activities. To execute these functional competencies 
intelligence officers utilize subject matter expertise in the six intelligence disciplines of geospatial intelligence (GEOINT), human 
intelligence (HUMINT), measurement and signature intelligence (MASINT), open source intelligence (OSINT), signals intelligence 
(SIGINT), a",pattern,,,pattern_v0
14F,K,"io, miso, deception activities, mildec,","ers, operators, and 
planners as operations evolve. 
3. Specialty Qualifications: 
3.1. 
Knowledge. Knowledge of IO, MISO, Deception Activities, MILDEC, and OPSEC, including the application, integration and 
synchronization of information capabilities to in",pattern,,,pattern_v0
21A,S,workforce discipline,"onsibilities: 
2.1. 
Directs aircraft maintenance mission generation and repair network activities. Maintains workforce discipline and responds to 
personnel issues while balancing workforce availability and skill levels with operation",pattern,,,pattern_v0
21A,A,execute mission requirements," and dropped object programs (DOP). Manages overall aircraft fleet health and ensures aircraft availability to execute 
mission requirements. Analyzes aircraft maintenance indicators to identify trends and initiates corrective actions. 
2.3.",pattern,,,pattern_v0
21M,S,"conventional munitions, nuclear weapons,","ns for storage, 
movement, and operations of conventional munitions, nuclear weapons, and missiles. Conducts conventional munitions, nuclear weapons, 
and missile safety training. 
2.3. 
Manages conventional munitions, nuclear weapons, and missile mainten",pattern,,,pattern_v0
1A3X1,K,"electrical, arithmetic, mechanical, navigation, communication, hydraulic,","o and paratroopers exiting the 
aircraft. 
3. Specialty Qualifications: 
3.1. 
Knowledge. Mandatory knowledge of: electrical, arithmetic, mechanical, navigation, communication, hydraulic, and pneumatic 
systems applying to aircraft and related systems; flight theory; minor in-flight maintena",pattern,,,pattern_v0
1A3X1,S,preflight," in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions. Performs preflight and 
post-flight of aircraft and aircraft systems. Receives cargo/passenger load briefings, checks place",pattern,,,pattern_v0
1A3X1,S,aircrew functions,"nstrates use of aircrew flight equipment. 
Accomplishes passenger comfort activities during flight. Performs aircrew functions and other mission specific qualification duties to 
include the airdrop of personnel and equipment/cargo",pattern,,,pattern_v0
1A3X1,S,in-flight refueling aircrew functions,"her mission specific qualification duties to 
include the airdrop of personnel and equipment/cargo. Performs in-flight refueling aircrew functions and activities. Monitors and operates 
complex aircraft instrumentation systems during flight, to includ",pattern,,,pattern_v0
1A3X1,S,aircraft inspections,"ated DoD Occupational Subgroup: 105000, 195000, and 105000. 
2. Duties and Responsibilities: 
2.1. 
Performs aircraft inspections. Performs aircrew visual inspection; non-scheduled aircraft maintenance; and preflight, through- fli",pattern,,,pattern_v0
1A3X1,S,aircrew visual inspection," 105000, 195000, and 105000. 
2. Duties and Responsibilities: 
2.1. 
Performs aircraft inspections. Performs aircrew visual inspection; non-scheduled aircraft maintenance; and preflight, through- flight, 
and post flight inspections of",pattern,,,pattern_v0
1A3X1,S,"engine starts,","d aircraft systems controls and indicators according to flight manual procedures. Assists pilot or 
performs engine starts, and monitors run-up, flight operations, and engine shutdown. Operates engine controls to provide desired",pattern,,,pattern_v0
1A3X1,S,in-flight refueling aircrew duties,"ifies proximal threats to the aircraft and initiates corrective actions (aircraft scanning). 
2.5. 
Performs in-flight refueling aircrew duties. Checks forms for equipment status. Performs visual and operational check of air refueling 
and asso",pattern,,,pattern_v0
1A3X1,S,visual,"t scanning). 
2.5. 
Performs in-flight refueling aircrew duties. Checks forms for equipment status. Performs visual and operational check of air refueling 
and associated systems and equipment. Performs in-flight operati",pattern,,,pattern_v0
1A3X1,S,in-flight operational check of air refueling systems,"atus. Performs visual and operational check of air refueling 
and associated systems and equipment. Performs in-flight operational check of air refueling systems. Directs receiver aircraft into air refueling 
position. Operates in-flight air refueling controls a",pattern,,,pattern_v0
1A3X1,S,emergency operations,"the air-refueling envelope. Keeps tanker pilot informed as to progress of air refueling operations. Performs emergency operations and 
procedures as required for emergency off-load and on-load of fuel. 
2.6. 
Ensures availability of f",pattern,,,pattern_v0
1A3X1,S,jumpmaster duties,"tes the use of passenger emergency 
oxygen systems and life vests. Supervises passengers in-flight. Performs jumpmaster duties. 
2.7. 
Conducts cargo and personnel airdrops according to directives. Attaches extraction parachute",pattern,,,pattern_v0
1A3X1,S,"complex aircraft instrumentation systems during flight, to include engine","el and equipment/cargo. Performs in-flight refueling aircrew functions and activities. Monitors and operates 
complex aircraft instrumentation systems during flight, to include engine and aircraft systems controls, panels, and indicators. Some missions 
require non-standard configuration",pattern,,,pattern_v0
