Research ID,Description,Raw Skill,Knowledge Required,Task Abilities,Skill Tag,Correlation Coefficient
11F3,"AFSC 11F4*, Staff 
AFSC 11F3*, Flight Lead  
AFSC 11F2*, Wingman  
AFSC 11F1*, Entry/Student 
FIGHTER PILOT 
(Changed 30 Apr 23) 
1. Specialty Summary. Pilots fighter aircraft and commands crews to accomplish combat, training, and other missions. Related DoD 
Occupational Group: 220100. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather information. Supervises mission planning, 
preparation and filing of flight plan, and cre","theory of flight, air navigation, meteorology, flying directives, aircraft operating procedures,","theory of flight, air navigation, meteorology, flying directives, aircraft operating procedures,",,K_pattern,0.75
11F3,"AFSC 11F4*, Staff 
AFSC 11F3*, Flight Lead  
AFSC 11F2*, Wingman  
AFSC 11F1*, Entry/Student 
FIGHTER PILOT 
(Changed 30 Apr 23) 
1. Specialty Summary. Pilots fighter aircraft and commands crews to accomplish combat, training, and other missions. Related DoD 
Occupational Group: 220100. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather information. Supervises mission planning, 
preparation and filing of flight plan, and cre",staff functions related to this specialty,,,S_pattern,0.75
11F3,"AFSC 11F4*, Staff 
AFSC 11F3*, Flight Lead  
AFSC 11F2*, Wingman  
AFSC 11F1*, Entry/Student 
FIGHTER PILOT 
(Changed 30 Apr 23) 
1. Specialty Summary. Pilots fighter aircraft and commands crews to accomplish combat, training, and other missions. Related DoD 
Occupational Group: 220100. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather information. Supervises mission planning, 
preparation and filing of flight plan, and cre",or supervises training of crewmembers,,,S_pattern,0.75
11F3,"AFSC 11F4*, Staff 
AFSC 11F3*, Flight Lead  
AFSC 11F2*, Wingman  
AFSC 11F1*, Entry/Student 
FIGHTER PILOT 
(Changed 30 Apr 23) 
1. Specialty Summary. Pilots fighter aircraft and commands crews to accomplish combat, training, and other missions. Related DoD 
Occupational Group: 220100. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather information. Supervises mission planning, 
preparation and filing of flight plan, and cre",aircraft controls,,,S_pattern,0.75
11F3,"AFSC 11F4*, Staff 
AFSC 11F3*, Flight Lead  
AFSC 11F2*, Wingman  
AFSC 11F1*, Entry/Student 
FIGHTER PILOT 
(Changed 30 Apr 23) 
1. Specialty Summary. Pilots fighter aircraft and commands crews to accomplish combat, training, and other missions. Related DoD 
Occupational Group: 220100. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather information. Supervises mission planning, 
preparation and filing of flight plan, and cre","navigation, in-flight refueling (except q suffix, iff (at-38/t-38c)),",,,S_pattern,0.75
12B,"AFSC 12B4*, Staff  
AFSC 12B3*, Qualified 
AFSC 12B2*, Intermediate  
AFSC 12B1*, Entry/Student 
BOMBER COMBAT SYSTEMS OFFICER 
(Changed 31 Oct 21) 
1. Specialty Summary. Performs duties of navigator, electronic warfare officer (EWO), or weapon systems officer (WSO) to accomplish 
combat, training, and other assigned missions. Related DoD Occupational Group: 220400. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather informat","theory of flight, air navigation, meteorology, flying directives, aircraft operating procedures,","theory of flight, air navigation, meteorology, flying directives, aircraft operating procedures,",,K_pattern,0.75
12B,"AFSC 12B4*, Staff  
AFSC 12B3*, Qualified 
AFSC 12B2*, Intermediate  
AFSC 12B1*, Entry/Student 
BOMBER COMBAT SYSTEMS OFFICER 
(Changed 31 Oct 21) 
1. Specialty Summary. Performs duties of navigator, electronic warfare officer (EWO), or weapon systems officer (WSO) to accomplish 
combat, training, and other assigned missions. Related DoD Occupational Group: 220400. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather informat","duties of navigator, electronic warfare officer (ewo), or weapon systems officer (wso) to accomplish combat, training,",,,S_pattern,0.75
12B,"AFSC 12B4*, Staff  
AFSC 12B3*, Qualified 
AFSC 12B2*, Intermediate  
AFSC 12B1*, Entry/Student 
BOMBER COMBAT SYSTEMS OFFICER 
(Changed 31 Oct 21) 
1. Specialty Summary. Performs duties of navigator, electronic warfare officer (EWO), or weapon systems officer (WSO) to accomplish 
combat, training, and other assigned missions. Related DoD Occupational Group: 220400. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather informat",staff functions related to this specialty,,,S_pattern,0.75
12B,"AFSC 12B4*, Staff  
AFSC 12B3*, Qualified 
AFSC 12B2*, Intermediate  
AFSC 12B1*, Entry/Student 
BOMBER COMBAT SYSTEMS OFFICER 
(Changed 31 Oct 21) 
1. Specialty Summary. Performs duties of navigator, electronic warfare officer (EWO), or weapon systems officer (WSO) to accomplish 
combat, training, and other assigned missions. Related DoD Occupational Group: 220400. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather informat",or supervises training of crewmembers,,,S_pattern,0.75
12B,"AFSC 12B4*, Staff  
AFSC 12B3*, Qualified 
AFSC 12B2*, Intermediate  
AFSC 12B1*, Entry/Student 
BOMBER COMBAT SYSTEMS OFFICER 
(Changed 31 Oct 21) 
1. Specialty Summary. Performs duties of navigator, electronic warfare officer (EWO), or weapon systems officer (WSO) to accomplish 
combat, training, and other assigned missions. Related DoD Occupational Group: 220400. 
2. Duties and Responsibilities: 
2.1. 
Plans and prepares for mission. Reviews mission tasking, intelligence, and weather informat",available navigation systems,,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;","intelligence fundamentals, security, analysis, communications skills, the intelligence disciplines, the intelligence community, isr information systems, research sources","intelligence fundamentals, security, analysis, communications skills, the intelligence disciplines, the intelligence community, isr information systems, research sources",,K_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;","processing, exploitation,",,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;","activities such as collection operations (sensing), analysis (identify",,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;",targeting functions,,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;",targeting functions to include kinetic,,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;","force development, management",,,S_pattern,0.75
